Exported Data from KCMS (Python)
,Overall Rank,Overall Points,Long Jump Result,Long Jump Placing,Long Jump Point,Javelin Result,Javelin Placing,Javelin Point,200m Result,200m Placing,200m Point,Discus Result,Discus Placing,Discus Point,1500m Result,1500m Placing,1500m Point
Clarence Rios,231,0,98420.44,19,0,27782.05,281,0,67048.83,672,0,38284.35,619,0,34331.91,335,0
Jadiel Benitez,232,0,12035.6,855,0,26234.48,259,0,21501.05,214,0,18790.9,819,0,12298.99,114,0
Alexander Christensen,233,0,50662.1,488,0,94977.78,939,0,70232.12,701,0,24356.15,763,0,87782.32,877,0
Kaylyn Ho,234,0,75747.49,234,0,67983.1,676,0,13301.73,130,0,74080.81,268,0,7325.57,62,0
Isis Chase,235,0,89248.46,100,0,67612.22,672,0,74711.92,743,0,98507.6,11,0,21923.33,205,0
Mohamed Andrews,236,0,10077.58,880,0,56501.43,557,0,6119.08,57,0,19359.98,813,0,27954.36,258,0
Trinity Simpson,237,0,40136.74,583,0,53633.74,532,0,73267.0,729,0,67697.8,333,0,32386.84,311,0
Lilianna Small,238,0,98418.93000000001,20,0,49343.55,495,0,93286.24,929,0,43075.72,570,0,28433.05,263,0
Britney Schmidt,239,0,37927.85,596,0,49539.36,498,0,38776.26,394,0,40278.54,602,0,63048.79,613,0
Carley Stewart,240,0,93470.24,63,0,37465.07,383,0,30738.81,305,0,55399.49,458,0,77356.67,767,0
Charlee Zamora,241,0,98814.23,16,0,2508.32,31,0,40727.64,424,0,34604.37,653,0,4099.05,36,0
Zaiden Thornton,242,0,34372.32,631,0,40479.56,414,0,31453.5,314,0,11175.24,892,0,69327.04000000001,682,0
Rodrigo Short,243,0,87071.0,128,0,83308.59,823,0,49659.41,520,0,81790.56,189,0,67722.06,668,0
Cheyanne Warner,244,0,73638.65000000001,258,0,53271.08,529,0,56002.8,581,0,82860.5,175,0,35979.270000000004,347,0
Curtis Mann,245,0,61166.19,381,0,74565.35,741,0,5818.9400000000005,51,0,36445.28,638,0,90042.44,896,0
Alex Simpson,246,0,383.11,996,0,72263.55,719,0,14011.73,136,0,7475.9800000000005,930,0,23879.79,223,0
Cody Suarez,247,0,97815.49,26,0,95808.23,955,0,13536.76,131,0,59665.8,409,0,77036.13,763,0
Leland Marshall,248,0,89574.26,99,0,95343.61,950,0,83505.67,839,0,44118.93,564,0,68320.93000000001,672,0
Destinee Casey,249,0,80608.7,185,0,95269.41,949,0,37515.43,384,0,79916.16,211,0,53329.62,534,0
Micah Frye,250,0,88056.03,113,0,78764.84,778,0,53300.3,545,0,10847.130000000001,896,0,45105.12,448,0
Piper Ramos,251,0,56724.12,425,0,95537.01,953,0,99142.2,995,0,33375.67,664,0,2880.4700000000003,24,0
Hugh Ford,252,0,23333.55,734,0,31367.43,329,0,738.51,5,0,54706.54,467,0,41288.6,406,0
Bryan Diaz,253,0,54568.07,452,0,56761.67,561,0,89797.59,893,0,45663.97,546,0,48173.24,472,0
Brent Wheeler,254,0,30005.56,661,0,18208.81,175,0,87563.39,869,0,5379.61,950,0,15022.550000000001,143,0
Jadon Petty,255,0,63102.22,362,0,23908.73,241,0,52468.81,538,0,78288.91,232,0,79249.57,788,0
Marie Scott,256,0,66703.4,324,0,84379.99,828,0,29801.350000000002,295,0,34596.04,654,0,17496.29,170,0
Bryanna Mcbride,257,0,27066.100000000002,697,0,82607.40000000001,816,0,23974.91,238,0,82996.73,172,0,83042.52,834,0
Abram Mcmillan,258,0,3917.4900000000002,946,0,24508.45,243,0,55841.82,578,0,80273.83,209,0,45924.18,451,0
Landon Tanner,259,0,33953.73,641,0,7601.3,81,0,67932.02,682,0,55896.23,453,0,68403.44,674,0
Nicolas Houston,260,0,38879.56,588,0,60614.28,598,0,4316.8,40,0,30821.170000000002,686,0,76410.37,749,0
Natalya Norris,261,0,48069.91,518,0,35918.37,374,0,53903.12,553,0,39362.340000000004,610,0,10517.83,89,0
Cloe Santiago,262,0,7187.29,905,0,23494.670000000002,234,0,98033.06,983,0,39915.88,607,0,83773.07,840,0
Paulina Simpson,263,0,3374.64,952,0,97302.15000000001,968,0,62597.48,630,0,96185.66,42,0,71913.46,709,0
Emilee Chung,264,0,416.03000000000003,995,0,88689.96,880,0,9623.44,93,0,81289.66,196,0,93832.01,937,0
Kendra Hardy,265,0,93688.97,60,0,61323.4,606,0,70188.47,698,0,39845.04,608,0,9712.31,84,0
Lorenzo Deleon,266,0,49953.9,498,0,73858.6,737,0,11426.64,107,0,79126.45,224,0,67404.61,666,0
Donavan Fleming,267,0,18182.52,785,0,44881.520000000004,448,0,16009.23,159,0,35336.43,649,0,82318.98,822,0
Gloria Watts,268,0,3518.71,950,0,28385.86,289,0,39219.94,398,0,30254.440000000002,694,0,41387.37,408,0
Kinley Morrow,269,0,96087.35,41,0,19147.36,186,0,67223.15,674,0,12233.36,881,0,50494.96,505,0
Drew Bray,270,0,49971.35,496,0,42489.78,436,0,24688.22,247,0,52547.270000000004,489,0,51039.78,509,0
Alessandro Baxter,271,0,26140.170000000002,705,0,95131.96,943,0,33493.770000000004,338,0,88520.64,127,0,30186.31,288,0
Bernard Bowman,272,0,55740.29,438,0,81513.25,805,0,45231.26,468,0,60435.98,402,0,76862.07,759,0
Averie Fields,273,0,38383.42,590,0,30053.03,310,0,83078.04000000001,828,0,36207.93,641,0,96824.89,969,0
Kallie Osborne,274,0,7933.85,896,0,741.16,15,0,53587.35,549,0,13106.78,876,0,63333.92,617,0
Kali Mahoney,275,0,70276.73,293,0,3054.87,35,0,78124.39,777,0,22961.15,777,0,89517.97,891,0
Mckinley Reese,276,0,8243.92,893,0,19035.9,185,0,28000.77,273,0,26207.86,742,0,77995.04000000001,775,0
Emmy Duran,277,0,37823.61,598,0,52304.19,519,0,39293.25,402,0,62922.87,377,0,68449.24,675,0
Eliezer Hoffman,278,0,75842.19,232,0,51951.42,515,0,6663.93,61,0,60598.16,399,0,58333.81,578,0
Brittany Gallagher,279,0,64682.020000000004,346,0,20646.65,202,0,95026.96,954,0,58944.53,422,0,12221.35,112,0
Jaidyn Jarvis,280,0,14691.6,819,0,85638.31,838,0,38124.8,391,0,11180.58,891,0,76606.49,754,0
Will Douglas,281,0,2212.6,972,0,691.61,13,0,98768.62,993,0,61068.06,392,0,39936.38,385,0
Sonny Tate,282,0,87252.34,125,0,16142.2,155,0,95063.33,956,0,9563.7,912,0,10139.07,85,0
Raegan Richardson,283,0,78697.92,198,0,14675.37,145,0,31546.31,316,0,73580.27,276,0,22760.98,213,0
Ariella Banks,284,0,7179.360000000001,906,0,63585.58,631,0,17878.86,180,0,47160.29,532,0,13905.51,131,0
Savanna Woodward,285,0,4973.78,925,0,45736.56,457,0,68162.38,685,0,56192.05,449,0,33683.08,328,0
Luna Bright,286,0,7424.55,901,0,56805.14,562,0,56303.82,582,0,47555.3,530,0,11573.89,106,0
Deegan Carroll,287,0,61334.21,377,0,77394.25,765,0,66729.06,668,0,79195.13,221,0,40343.520000000004,393,0
Esmeralda Cortez,288,0,71783.90000000001,278,0,69639.56,694,0,65576.03,657,0,50926.73,500,0,8160.27,72,0
Spencer Davidson,289,0,84911.40000000001,148,0,23124.13,230,0,91913.03,911,0,76831.13,240,0,46461.0,457,0
Thomas Sampson,290,0,25784.190000000002,707,0,49725.98,500,0,36473.64,374,0,90616.16,105,0,74644.85,737,0
Joel Hawkins,291,0,87155.13,127,0,89368.92,888,0,32550.600000000002,326,0,68335.58,327,0,16486.86,161,0
Hayley Johns,292,0,91294.08,80,0,54035.43,537,0,81901.96,821,0,94146.93000000001,69,0,15089.98,144,0
Willow Wade,293,0,61673.46,373,0,97711.56,975,0,52023.01,537,0,33150.72,666,0,71474.35,706,0
Jenna Cannon,294,0,87759.48,119,0,22566.2,218,0,98542.69,989,0,87800.04000000001,136,0,17547.07,171,0
Sheldon Glover,295,0,75302.72,238,0,93912.8,926,0,74403.78,738,0,96163.07,43,0,89511.08,890,0
Martin Golden,296,0,57843.68,408,0,86806.22,854,0,90640.86,903,0,92268.63,89,0,42132.51,418,0
Salvador Landry,297,0,94458.83,52,0,85645.13,839,0,88235.48,877,0,28831.670000000002,709,0,44575.38,445,0
Helen Gentry,298,0,92519.79000000001,70,0,7313.26,79,0,21029.27,208,0,26936.39,732,0,65321.21,635,0
Lyric Beltran,299,0,16244.800000000001,795,0,68267.24,677,0,40210.62,416,0,67331.92,337,0,66233.93000000001,651,0
Braylen Molina,300,0,37932.37,595,0,94728.02,936,0,49563.15,518,0,56513.99,445,0,48417.16,475,0
Jocelyn Trevino,301,0,75220.34,240,0,52477.74,522,0,85878.92,854,0,98812.17,9,0,95310.18000000001,952,0
Weston Blankenship,302,0,10116.52,879,0,47469.1,472,0,19081.16,192,0,95901.25,46,0,37133.49,363,0
Melody Hahn,303,0,24667.59,722,0,15253.6,149,0,54875.12,566,0,96071.16,45,0,22425.15,211,0
Zion Pace,304,0,79475.89,193,0,10307.43,102,0,41534.49,435,0,74798.12,262,0,86538.11,863,0
Cayden Fischer,305,0,62925.47,364,0,89770.51,891,0,7314.54,68,0,80274.7,208,0,76704.44,756,0
Libby Parrish,306,0,80976.62,180,0,53225.520000000004,528,0,25500.11,252,0,47847.700000000004,528,0,25922.260000000002,242,0
Kendall Gonzalez,307,0,47275.21,525,0,86784.83,852,0,97895.15000000001,979,0,88607.31,123,0,82098.16,820,0
Bronson Moody,308,0,84980.15000000001,146,0,29332.11,299,0,34598.31,349,0,20838.45,803,0,44239.53,441,0
Julien Hammond,309,0,25183.420000000002,714,0,62092.31,616,0,28946.39,287,0,90996.27,101,0,51158.05,511,0
Tate Charles,310,0,55777.880000000005,437,0,28774.96,292,0,61908.06,624,0,55487.93,456,0,35990.41,349,0
Jeremiah Valencia,311,0,86916.89,129,0,27044.24,270,0,51193.630000000005,529,0,47708.96,529,0,71976.5,710,0
Emery Mora,312,0,84525.22,150,0,28084.91,287,0,63012.72,632,0,9393.94,915,0,61663.8,601,0
Cailyn Malone,313,0,97540.15000000001,29,0,16076.77,153,0,22111.850000000002,216,0,47229.31,531,0,31795.39,306,0
Maia Fernandez,314,0,15954.77,804,0,32557.600000000002,341,0,5573.79,49,0,489.09000000000003,998,0,96120.5,962,0
Casey Bernard,315,0,28453.61,682,0,21924.420000000002,211,0,23201.88,227,0,59147.12,416,0,38303.6,376,0
Pamela Barrera,316,0,18573.510000000002,784,0,758.19,16,0,85557.09,852,0,10701.84,901,0,25379.690000000002,237,0
Kathleen Shaffer,317,0,92011.99,73,0,28577.510000000002,290,0,39356.96,403,0,15368.67,857,0,95192.36,949,0
Aliza Vazquez,318,0,21035.21,760,0,78620.92,776,0,25490.86,251,0,32247.32,675,0,48591.3,481,0
Ross Goodwin,319,0,98649.08,18,0,82989.84,820,0,63628.560000000005,637,0,67546.91,335,0,38915.89,378,0
Angie Campbell,320,0,52946.9,465,0,86523.29000000001,849,0,31995.010000000002,322,0,24933.04,753,0,24501.91,230,0
Cecilia Savage,321,0,57590.42,412,0,13079.49,131,0,54303.08,559,0,89350.02,114,0,50281.0,498,0
Emmett Russo,322,0,59474.700000000004,391,0,5891.61,66,0,25578.31,254,0,30500.22,693,0,40832.17,400,0
Tania Duarte,323,0,4929.49,926,0,93375.57,919,0,96001.11,960,0,63887.25,371,0,2293.02,18,0
Harrison Schaefer,324,0,11598.56,863,0,64428.89,639,0,14691.14,143,0,79591.23,216,0,14753.92,141,0
Mercedes Villarreal,325,0,50922.950000000004,486,0,8295.47,84,0,15832.76,155,0,29074.3,705,0,4875.86,42,0
Abbigail Haynes,326,0,60036.53,388,0,96046.98,958,0,84094.21,843,0,45420.28,549,0,33669.38,327,0
Sheldon Hoffman,327,0,87993.65000000001,115,0,72687.71,722,0,19478.18,195,0,93261.48,80,0,90315.53,900,0
Raymond Sosa,328,0,36621.99,608,0,23042.22,225,0,88600.45,880,0,81491.56,194,0,94936.61,945,0
Tyree Gillespie,329,0,10807.87,870,0,80144.42,794,0,88613.15000000001,881,0,91732.8,94,0,26665.32,250,0
Sariah Whitney,330,0,90914.76,87,0,57534.68,569,0,13011.95,128,0,73360.27,280,0,16209.9,156,0
Xavier Francis,331,0,47272.61,526,0,45791.92,458,0,28313.23,277,0,87500.6,144,0,67967.61,670,0
Lauren Patrick,332,0,66579.02,325,0,73332.41,733,0,28577.56,283,0,84311.47,161,0,96283.19,964,0
Harold Gates,333,0,2851.58,960,0,78330.3,773,0,44858.020000000004,465,0,95029.59,57,0,52963.47,528,0
Terry Barrett,334,0,37303.26,601,0,26819.3,265,0,30089.600000000002,299,0,96102.01,44,0,47605.43,465,0
Lennon Haas,335,0,75138.27,241,0,55407.07,547,0,77421.09,768,0,86349.16,148,0,69618.91,686,0
Jordan Mccullough,336,0,75345.90000000001,237,0,72463.78,720,0,36100.88,368,0,59151.26,415,0,52031.93,516,0
Luca Golden,337,0,54736.4,450,0,609.7,11,0,38983.94,397,0,1748.49,987,0,40714.71,398,0
Eliezer Hogan,338,0,1725.73,977,0,57038.840000000004,564,0,7444.81,69,0,80770.33,202,0,26218.15,247,0
Albert Thomas,339,0,12314.82,849,0,97782.02,976,0,3686.4300000000003,38,0,52910.130000000005,487,0,49305.58,487,0
Zaid Mora,340,0,4254.54,937,0,26418.18,260,0,33675.24,341,0,73211.05,284,0,27431.28,254,0
Amari Schroeder,341,0,12180.22,853,0,27746.66,279,0,93864.33,940,0,84999.74,156,0,79632.8,791,0
Jewel Kelly,342,0,60737.0,384,0,87804.92,868,0,42097.3,440,0,36076.73,643,0,65107.6,631,0
Baylee Simmons,343,0,14414.27,821,0,27788.29,282,0,22386.98,218,0,58299.31,429,0,52674.16,525,0
Ernest Wilson,344,0,76228.28,229,0,27937.08,284,0,49493.92,516,0,97455.32,30,0,38937.91,379,0
Jacoby Mills,345,0,57135.82,418,0,28152.77,288,0,90387.1,899,0,55898.29,452,0,38993.54,380,0
Brogan Mack,346,0,93226.8,65,0,68975.62,686,0,74634.86,741,0,73450.79000000001,279,0,56658.75,566,0
Wyatt Morales,347,0,11666.78,861,0,69873.43000000001,696,0,96775.46,966,0,8235.03,921,0,63557.6,620,0
Reese Ramos,348,0,58020.47,406,0,38431.8,392,0,56845.53,585,0,18968.62,817,0,73103.65000000001,719,0
Marc Meyer,349,0,77343.42,215,0,2105.68,26,0,28430.81,279,0,4559.5,963,0,20472.600000000002,195,0
Ayaan Fitzgerald,350,0,77606.29000000001,211,0,24918.920000000002,246,0,80951.68000000001,808,0,88913.43000000001,119,0,40123.07,390,0
Kiersten Herring,351,0,52722.75,468,0,63042.16,629,0,7514.24,71,0,12615.81,879,0,55164.23,546,0
Nyasia Houston,352,0,45523.37,539,0,56402.630000000005,553,0,81052.37,813,0,32091.82,676,0,86902.78,868,0
Adolfo Williams,353,0,79204.83,197,0,2013.94,24,0,66093.32,663,0,6442.72,939,0,7106.85,57,0
Nehemiah Martinez,354,0,97759.54000000001,27,0,78896.09,780,0,45686.4,477,0,73564.15000000001,277,0,68565.65,676,0
Roselyn Wood,355,0,86635.24,131,0,90912.58,899,0,29780.77,294,0,93245.11,81,0,50388.42,500,0
Eden Schmitt,356,0,51436.130000000005,480,0,94690.81,935,0,30082.850000000002,298,0,22250.25,790,0,73510.14,727,0
Yurem Anthony,357,0,97868.37,24,0,56575.5,558,0,44546.19,463,0,62626.14,379,0,84472.55,841,0
Hailie Wu,358,0,56441.22,429,0,74336.44,740,0,92948.46,926,0,89780.47,108,0,84761.61,844,0
Yael Sparks,359,0,70989.69,288,0,97870.16,977,0,37969.35,387,0,46554.83,535,0,32612.34,314,0
Logan Raymond,360,0,18960.75,778,0,58269.56,576,0,6389.92,60,0,28805.43,710,0,6299.82,51,0
Marcel Rollins,361,0,32361.33,652,0,48034.21,476,0,8379.24,82,0,4048.79,967,0,91126.64,914,0
Finley Hernandez,362,0,12480.73,847,0,30493.47,314,0,81180.99,816,0,91859.34,92,0,82616.63,828,0
Isabella Wise,363,0,51647.75,479,0,74806.84,747,0,11844.53,113,0,40627.89,596,0,11047.380000000001,98,0
Bailey Cummings,364,0,76231.93000000001,228,0,81888.36,809,0,50471.880000000005,525,0,16901.010000000002,837,0,66071.26,647,0
Tyrell Sampson,365,0,58736.73,397,0,95721.31,954,0,45745.72,478,0,98019.1,17,0,14631.57,139,0
Abigayle Jacobson,366,0,96582.55,37,0,79542.13,789,0,82518.78,826,0,43250.85,568,0,63423.11,618,0
Gina Rangel,367,0,67963.18000000001,314,0,82469.75,814,0,97049.74,970,0,69666.13,312,0,3839.9500000000003,34,0
Jazmin Holland,368,0,54199.68,455,0,21993.72,214,0,74184.71,734,0,38776.020000000004,617,0,81992.31,818,0
Tianna Zhang,369,0,73188.91,263,0,69305.14,689,0,11389.19,106,0,6341.74,941,0,81768.62,812,0
Clare Farrell,370,0,87288.53,124,0,57467.24,568,0,61766.93,622,0,54406.950000000004,470,0,35293.26,341,0
Johnny Bryant,371,0,2520.63,967,0,59558.4,587,0,86108.11,859,0,98465.96,12,0,7219.95,60,0
Sullivan Mays,372,0,73333.79000000001,261,0,84370.38,827,0,26297.8,257,0,82461.45,181,0,83485.8,836,0
Eden Benson,373,0,37887.770000000004,597,0,4760.2300000000005,58,0,17626.010000000002,177,0,11591.27,886,0,59405.25,587,0
Edward Krueger,374,0,47908.700000000004,522,0,6535.97,73,0,6093.4800000000005,55,0,84061.90000000001,164,0,77172.72,765,0
Xzavier Whitaker,375,0,24417.13,725,0,32892.38,344,0,77590.68000000001,773,0,37909.47,625,0,50530.57,506,0
Brooklyn Neal,376,0,42763.61,565,0,62470.73,621,0,89908.5,894,0,72895.8,286,0,13880.74,129,0
Ryann Hood,377,0,32372.02,651,0,12798.460000000001,130,0,97456.88,973,0,28702.68,711,0,48054.15,471,0
Mercedes Jimenez,378,0,34340.71,633,0,29985.170000000002,308,0,9306.59,90,0,42158.41,577,0,98387.44,988,0
Abdullah Mcdaniel,379,0,86759.95,130,0,67585.27,671,0,38091.200000000004,390,0,40898.17,590,0,85243.44,850,0
Kareem Collins,380,0,17416.19,788,0,20526.4,200,0,54450.81,562,0,53116.85,485,0,78108.5,778,0
Deegan Potter,381,0,47102.26,527,0,3996.9500000000003,47,0,89716.39,891,0,44438.06,560,0,2687.78,21,0
Brenna Cross,382,0,99140.8,11,0,13981.61,137,0,69187.54000000001,692,0,49293.81,517,0,69704.64,688,0
Savannah Tucker,383,0,21950.170000000002,749,0,79527.72,787,0,60214.08,609,0,59454.880000000005,413,0,95128.02,947,0
Nyasia West,384,0,4347.72,934,0,29124.29,296,0,40628.14,423,0,94923.38,59,0,74077.04000000001,732,0
Princess Schmitt,385,0,91239.64,81,0,36092.03,376,0,80967.27,809,0,26666.12,735,0,63065.93,614,0
Clay Mccann,386,0,18110.55,786,0,45545.67,455,0,7725.400000000001,74,0,80408.37,207,0,58235.5,575,0
Monica Holder,387,0,99018.96,13,0,41085.24,419,0,70204.97,699,0,41659.24,585,0,49611.380000000005,489,0
Janet Blackburn,388,0,60592.44,386,0,32564.920000000002,342,0,1044.41,13,0,64540.44,361,0,95649.08,958,0
Elliot Weiss,389,0,84291.26,152,0,6013.31,67,0,9673.86,95,0,84201.26,163,0,90240.56,899,0
Jaiden Boyle,390,0,24077.100000000002,729,0,68561.99,683,0,90297.55,898,0,85970.46,150,0,91481.59,917,0
London Pacheco,391,0,63124.16,360,0,46834.93,467,0,68645.63,689,0,58387.23,427,0,18988.58,187,0
Lea Blair,392,0,53143.16,462,0,48954.0,489,0,67698.04000000001,678,0,68418.46,325,0,28809.47,266,0
Adelyn Jacobson,393,0,8935.210000000001,892,0,99768.35,999,0,65232.55,653,0,98863.25,8,0,98327.14,987,0
Silas Mccoy,394,0,98163.37,21,0,95250.32,948,0,97868.24,977,0,69337.88,316,0,90698.89,907,0
Micah Bradford,395,0,76064.78,231,0,45518.47,454,0,13711.25,134,0,20378.74,805,0,27545.13,255,0
Jonas Murray,396,0,2587.43,966,0,93776.57,923,0,16015.85,160,0,31996.2,678,0,44053.38,437,0
Molly Flynn,397,0,43400.38,558,0,64822.560000000005,642,0,12992.89,127,0,23648.29,770,0,82755.47,830,0
Ashtyn Haney,398,0,6395.63,911,0,90040.71,894,0,37879.56,386,0,81574.15000000001,192,0,67119.31,663,0
Jaron Molina,399,0,2936.51,957,0,39896.39,410,0,63684.48,638,0,10798.22,897,0,87288.86,872,0
Aliana Graves,400,0,49955.51,497,0,18451.05,179,0,46933.1,493,0,50242.97,508,0,16461.78,160,0
Bentley Wiley,401,0,37309.75,600,0,29277.7,297,0,16166.18,162,0,59970.950000000004,406,0,89716.81,892,0
Lindsay Cruz,402,0,55829.87,436,0,84087.62,826,0,41881.840000000004,437,0,14680.18,864,0,18685.170000000002,184,0
Akira Pacheco,403,0,84417.25,151,0,62931.08,625,0,40930.98,428,0,30504.54,692,0,40898.16,402,0
Zack Padilla,404,0,23069.98,737,0,11667.64,118,0,97952.17,980,0,24195.24,766,0,78288.42,780,0
Cheyanne Sellers,405,0,36873.450000000004,604,0,14650.59,144,0,53444.81,547,0,78209.72,234,0,91874.5,919,0
Brycen Day,406,0,21743.27,750,0,38043.43,388,0,79264.05,790,0,84936.09,157,0,90460.17,901,0
Jake Sanford,407,0,41443.53,574,0,72128.54000000001,717,0,67888.34,681,0,60366.9,403,0,28145.61,260,0
Fletcher Hester,408,0,75065.53,243,0,29807.61,305,0,9811.31,97,0,59566.05,410,0,77669.61,772,0
Lilianna Good,409,0,48823.55,513,0,76326.6,755,0,47219.1,495,0,8573.04,918,0,13378.74,121,0
Jordyn Olson,410,0,9334.17,888,0,88255.68000000001,874,0,85394.93000000001,850,0,55468.26,457,0,8352.460000000001,75,0
Zavier Elliott,411,0,14902.960000000001,816,0,60393.61,593,0,2685.44,32,0,16162.78,846,0,47093.4,461,0
Dixie Bauer,412,0,43196.55,561,0,66703.65,660,0,98388.38,988,0,26894.34,733,0,30305.170000000002,290,0
Dillon Gentry,413,0,90181.75,93,0,31165.37,326,0,68811.59,690,0,98140.48,16,0,16988.07,167,0
William Pierce,414,0,15441.09,809,0,72046.45,716,0,64816.74,651,0,83020.83,171,0,13424.06,123,0
Martha Kidd,415,0,39550.37,586,0,40195.43,411,0,17508.65,175,0,85840.78,152,0,39714.81,384,0
Skylar Tanner,416,0,23326.7,735,0,18040.38,173,0,1017.27,12,0,33601.090000000004,663,0,33882.83,329,0
Skylar Farmer,417,0,27846.96,687,0,66461.49,656,0,76406.32,757,0,1634.3400000000001,988,0,68157.03,671,0
Max Conner,418,0,57144.82,417,0,18525.86,180,0,94154.57,945,0,45318.770000000004,550,0,67654.32,667,0
Damian Cherry,419,0,71422.68000000001,283,0,56432.15,555,0,94141.72,944,0,27989.61,724,0,46576.8,459,0
Wendy Obrien,420,0,52401.16,470,0,30748.350000000002,317,0,95233.94,959,0,6939.75,935,0,26324.25,249,0
Kendrick Higgins,421,0,58630.94,398,0,51738.32,514,0,44153.64,460,0,15753.31,852,0,17180.5,168,0
Heaven Andersen,422,0,9228.57,889,0,44705.54,447,0,9633.54,94,0,94786.05,60,0,12294.29,113,0
Natalya Camacho,423,0,61275.700000000004,379,0,3245.39,36,0,36839.39,377,0,45298.29,551,0,32861.95,317,0
Benjamin Tanner,424,0,46520.29,531,0,98563.16,981,0,71174.55,717,0,45612.6,548,0,41456.83,412,0
Mckinley Blair,425,0,24775.73,720,0,72017.15000000001,715,0,45213.74,467,0,69630.48,313,0,82370.65000000001,824,0
Sherlyn Hood,426,0,91542.48,77,0,11949.84,121,0,80947.21,806,0,74179.83,267,0,40397.65,394,0
Wesley Booth,427,0,56306.18,431,0,33223.78,349,0,2519.9,30,0,84005.61,166,0,75878.46,743,0
London Gardner,428,0,88220.23,110,0,72918.84,727,0,48693.12,508,0,14145.56,872,0,54332.46,541,0
Kailee Washington,429,0,15182.06,811,0,32302.43,340,0,94997.81,953,0,36815.48,636,0,49240.21,486,0
Reynaldo Foley,430,0,20511.57,764,0,31459.84,334,0,87241.96,867,0,90006.67,107,0,44214.31,440,0
Rose Campbell,431,0,11065.61,868,0,92056.48,907,0,12497.61,121,0,21094.82,799,0,73368.28,726,0
Aylin Li,432,0,89182.56,102,0,18961.66,183,0,27121.690000000002,264,0,53329.03,481,0,53004.03,531,0
Alberto Davis,433,0,49466.28,502,0,80558.83,799,0,80688.17,802,0,67954.11,329,0,14982.91,142,0
Payton Cunningham,434,0,30351.350000000002,658,0,84888.29000000001,834,0,70918.23,711,0,55095.880000000005,460,0,2027.79,15,0
Dario Riggs,435,0,96690.94,36,0,12594.67,126,0,37617.92,385,0,76571.40000000001,241,0,65197.08,634,0
Juliana Gutierrez,436,0,27831.690000000002,689,0,56500.21,556,0,66954.78,671,0,20986.88,801,0,77564.38,769,0
Heidi Rasmussen,437,0,77307.21,216,0,38515.08,395,0,67262.6,675,0,37496.58,630,0,6118.54,47,0
Piper Levy,438,0,1268.64,982,0,46814.85,466,0,35473.22,362,0,49139.39,519,0,62740.06,604,0
Emilio Abbott,439,0,87564.94,120,0,76767.77,759,0,53828.65,552,0,96911.03,34,0,63041.94,612,0
Logan Cain,440,0,23519.86,733,0,8712.26,88,0,89961.43000000001,895,0,4624.63,962,0,62890.49,610,0
Valerie Daniel,441,0,91999.81,74,0,38425.33,391,0,28901.13,285,0,18516.24,822,0,25426.4,238,0
Hezekiah Walters,442,0,83227.18000000001,159,0,95391.76,951,0,96309.69,963,0,64218.33,367,0,50776.79,508,0
Kendra Gamble,443,0,91501.91,78,0,25382.91,252,0,68328.51,687,0,89672.29000000001,109,0,97450.17,977,0
Edith Ibarra,444,0,52139.020000000004,473,0,61352.76,607,0,22409.08,219,0,78435.91,229,0,48862.44,484,0
Glenn Powers,445,0,12426.68,848,0,23483.9,233,0,16557.63,167,0,63328.16,373,0,28761.56,265,0
Esmeralda Hendrix,446,0,94274.74,54,0,17635.53,169,0,83344.7,836,0,84009.12,165,0,61890.78,602,0
Frances Carey,447,0,25065.33,716,0,84418.73,829,0,10003.32,98,0,42004.97,580,0,1297.6200000000001,10,0
Kayden Alexander,448,0,1294.8600000000001,981,0,72521.48,721,0,59368.520000000004,605,0,26249.38,741,0,58401.61,580,0
Sonny Huff,449,0,93458.27,64,0,78212.81,770,0,6387.650000000001,59,0,92919.54000000001,82,0,35348.57,342,0
Emanuel Barber,450,0,48062.840000000004,519,0,65509.36,647,0,83463.31,837,0,6450.17,938,0,54253.450000000004,539,0
Macie Haley,451,0,72810.40000000001,267,0,99416.96,994,0,45253.91,470,0,78527.01,228,0,73249.53,723,0
Saniya Garrison,452,0,50954.91,485,0,23266.89,232,0,57257.14,588,0,4297.77,964,0,81020.57,803,0
Makai Jones,453,0,93512.87,62,0,34689.6,363,0,70303.44,702,0,59862.0,408,0,51263.98,513,0
Lara Mckenzie,454,0,1331.72,980,0,47946.58,475,0,24935.3,249,0,80875.36,200,0,63163.01,615,0
Ulises Leblanc,455,0,30892.25,655,0,68282.45,678,0,55867.61,579,0,59877.6,407,0,34854.5,337,0
Amya Moore,456,0,85304.28,141,0,89940.05,892,0,97955.32,981,0,54684.51,468,0,10976.66,97,0
Erik Schultz,457,0,88069.69,111,0,56589.42,560,0,42376.28,441,0,96777.59,36,0,77026.64,762,0
Trevor Medina,458,0,64370.44,350,0,8327.93,85,0,36424.6,373,0,91525.72,96,0,53011.61,532,0
Omari Mcgee,459,0,86069.29000000001,136,0,76824.5,761,0,29817.34,297,0,64605.67,359,0,81474.77,807,0
Jaydin Phelps,460,0,83082.03,160,0,10990.29,109,0,29290.05,291,0,38273.46,620,0,40748.61,399,0
Shaylee Decker,461,0,49010.22,512,0,3051.11,34,0,2313.1,28,0,74761.28,263,0,70117.76,692,0
Janet Bass,462,0,50061.64,494,0,58222.270000000004,575,0,11004.9,103,0,68430.74,324,0,41309.66,407,0
